Station_number,Station_name,Region,rainfall,Mean,Percentile,Years_of_data,latitude,longitude,Elevation
73150,STOCKINBINGAL (SUNNYDALE),NSW,456.8,587.2,19.1,22,-34.53,147.84,340
73151,TEMORA AIRPORT,NSW,457.4,522.3,-1.0,19,-34.43,147.51,281
74005,BARELLAN POST OFFICE,NSW,332.7,438.4,20.9,116,-34.28,146.57,158
74034,COROWA AIRPORT,NSW,440.3,541.1,26.9,120,-35.99,146.36,143
74037,YANCO AGRICULTURAL INSTITUTE,NSW,229.0,397.6,6.1,67,-34.62,146.43,164
74050,GRONG GRONG (JUNEE ST),NSW,349.3,461.4,16.2,106,-34.74,146.78,165
74081,MULWALA POST OFFICE,NSW,417.6,496.5,31.6,99,-35.99,146.01,127
74118,WHITTON (CONAPAIRA ST),NSW,339.8,392.3,36.8,96,-34.51,146.18,132
74127,WAGGA WAGGA (GURWOOD STREET),NSW,571.9,562.0,68.4,20,-35.11,147.36,180
74148,NARRANDERA AIRPORT AWS,NSW,296.0,453.3,5.8,53,-34.71,146.51,145
74162,MORUNDAH HOTEL,NSW,273.2,431.1,3.1,33,-34.93,146.30,128
74202,GANMAIN (ROSEDALE),NSW,409.0,505.3,23.6,56,-34.85,146.98,175
74217,MARRAR (BRIGADOON),NSW,396.0,509.7,13.6,45,-34.76,147.35,310
74258,DENILIQUIN AIRPORT AWS,NSW,275.2,372.9,18.5,28,-35.56,144.95,94
74267,TALLIMBA (AVONLEA),NSW,350.2,443.0,36.8,20,-34.00,146.77,235
74268,ARDLETHAN (STRATHBOGIE),NSW,397.3,447.7,30.4,47,-34.19,146.93,215
74272,KAPOOKA (DEFENCE),NSW,514.2,571.9,-1.0,7,-35.13,147.25,187
75007,BOOLIGAL (BELMONT),NSW,292.1,332.8,37.0,120,-33.84,144.91,95
75019,HAY AIRPORT AWS,NSW,264.6,361.7,-1.0,18,-34.54,144.83,92
75032,HILLSTON AIRPORT,NSW,326.0,372.3,38.8,122,-33.49,145.52,122
75039,LAKE CARGELLIGO AIRPORT,NSW,310.2,423.8,23.5,120,-33.28,146.37,169
75041,GRIFFITH AIRPORT AWS,NSW,260.0,401.2,10.5,58,-34.25,146.07,134
75140,GUNBAR (KELSEY),NSW,300.2,352.8,42.0,70,-34.15,145.14,99
75142,MERRIWAGGA (SYLVANHAM),NSW,168.4,380.1,0.0,55,-33.92,145.52,107
75160,HAY (NOONAMAH),NSW,300.0,334.5,-1.0,2,-34.22,144.45,80
75163,HILLSTON ( ALDINGA),NSW,332.9,434.7,23.3,44,-33.35,145.87,135
75173,HAY (BEDARBIDGAL),NSW,254.2,376.3,14.8,28,-34.64,145.15,100
75177,HILLSTON AIRPORT COMPARISON,NSW,350.0,467.4,-1.0,2,-33.49,145.53,119
75178,MERRIWAGGA (OLD SCHOOL CARAVAN PARK) COM,NSW,326.4,439.1,-1.0,2,-33.81,145.63,179
75180,LAKE CARGELLIGO AIRPORT COMPARISON,NSW,316.2,440.1,-1.0,2,-33.28,146.37,179
76000,ANNUELLO,VIC,295.0,310.9,47.8,91,-34.85,142.78,52
76006,TUTYE (BUNUROUK) COMPARISON,VIC,225.2,276.1,-1.0,3,-35.29,141.49,60
76012,MANANGATANG (EUREKA EAST),VIC,229.0,316.5,21.5,94,-35.17,143.00,60
76018,MANANGATANG (COCAMBA),VIC,253.6,275.2,-1.0,16,-35.11,142.92,55
76031,MILDURA AIRPORT,VIC,244.7,284.3,40.0,76,-34.24,142.09,50
76038,MURRAYVILLE,VIC,204.7,323.0,4.5,112,-35.26,141.18,71
76042,BANNERTON (CARINA PARK),VIC,284.1,324.6,-1.0,12,-34.76,142.74,83
76047,OUYEN (POST OFFICE),VIC,335.6,331.5,56.4,111,-35.07,142.31,65
76050,PIRA WILD HORSE PLAINS,VIC,286.3,333.1,35.8,121,-35.26,143.37,89
76064,WALPEUP RESEARCH,VIC,304.4,330.1,38.5,79,-35.12,142.00,105
76067,WERRIMULL,VIC,283.4,275.1,64.2,82,-34.39,141.60,65
76103,BRONZEWING,VIC,271.8,313.9,32.5,81,-35.19,142.37,50
76105,BOUNDARY BEND,VIC,289.1,336.2,40.5,43,-34.72,143.15,58
76133,LINDSAY POINT,VIC,319.9,284.3,76.7,44,-34.11,141.02,59
76136,ROBINVALE (KYNDALYN PARK COMPARISON),VIC,248.0,269.2,-1.0,2,-34.72,142.93,67
77010,HOPETOUN AIRPORT,VIC,209.0,297.2,10.0,21,-35.72,142.36,77
77025,LAKE BOGA,VIC,397.7,338.9,77.1,110,-35.46,143.63,71
77028,BIRCHIP (MARLBED),VIC,274.1,357.7,20.5,113,-35.80,142.88,90
77034,QUAMBATOOK SOUTH,VIC,361.0,356.9,55.1,108,-35.93,143.50,95
77048,ULTIMA (POST OFFICE),VIC,284.4,344.4,26.2,104,-35.47,143.27,79
77052,WOOMELANG,VIC,282.8,347.2,21.8,111,-35.68,142.67,79
77088,BIRCHIP CROPPING GROUP,VIC,253.5,355.8,10.5,39,-35.99,142.92,105
77094,SWAN HILL AERODROME,VIC,317.8,310.4,65.2,24,-35.38,143.54,71
77097,YAAPEET,VIC,287.2,335.8,-1.0,3,-35.69,142.00,80
77098,RAINBOW RADAR RAIN GAUGE,VIC,229.2,299.3,-1.0,3,-36.00,142.01,115
77099,RAINBOW (PIGICK COMPARISON),VIC,242.0,342.3,-1.0,3,-35.87,141.82,91
77100,BIRCHIP (MARLBED COMPARISON),VIC,288.8,334.5,-1.0,3,-35.80,142.88,90
78007,COPE COPE,VIC,303.2,381.9,14.3,50,-36.45,143.10,121
78010,DIMBOOLA,VIC,252.0,405.2,4.2,120,-36.46,142.03,111
78015,NHILL AERODROME,VIC,278.4,338.6,-1.0,19,-36.31,141.65,139
78018,KELLALAC (WARRACKNABEAL AIRPORT),VIC,270.8,350.6,-1.0,8,-36.32,142.42,118
78030,TELOPEA DOWNS (MEENGO RAIN GAUGE),VIC,266.0,364.8,-1.0,3,-36.08,141.10,142
78042,WYCHEPROOF,VIC,351.8,379.4,38.4,113,-36.08,143.23,110
78073,KANIVA COMPARISON,VIC,319.4,411.1,-1.0,3,-36.37,141.24,142
78082,WARRACKNABEAL (EARLSTAN COMPARISON),VIC,276.0,354.0,-1.0,2,-36.27,142.22,119
78086,JEPARIT,VIC,244.7,383.5,7.0,115,-36.14,141.99,81
78087,YANAC NORTH COMPARISON,VIC,282.2,358.0,-1.0,3,-36.11,141.46,135
78088,DONALD COMPARISON,VIC,260.0,346.5,-1.0,3,-36.36,143.00,112
79003,BEAZLEYS BRIDGE,VIC,318.6,472.9,8.9,91,-36.70,143.16,219
79008,CLEAR LAKE,VIC,320.0,495.8,3.5,117,-36.94,141.87,155
79011,EDENHOPE (POST OFFICE),VIC,465.0,582.4,13.6,111,-37.04,141.30,162
79017,GOROKE (POST OFFICE),VIC,383.4,508.0,8.0,114,-36.72,141.47,162
79019,GREAT WESTERN (SEPPELT),VIC,445.8,548.9,15.9,114,-37.18,142.86,280
79021,HARROW (POST OFFICE),VIC,433.7,580.0,7.6,93,-37.17,141.59,116
79028,LONGERENONG,VIC,304.4,411.3,12.8,110,-36.67,142.30,133
79036,NATIMUK,VIC,293.2,439.7,5.3,114,-36.74,141.94,122
79040,ST ARNAUD,VIC,327.9,499.4,8.7,116,-36.62,143.26,240
79071,APSLEY (POST OFFICE),VIC,489.6,574.0,21.3,62,-36.97,141.08,111
79075,RUPANYUP (POST OFFICE),VIC,329.8,428.0,13.5,112,-36.63,142.63,145
79099,EDENHOPE AIRPORT,VIC,406.0,489.3,-1.0,18,-37.02,141.27,155
79100,HORSHAM AERODROME,VIC,267.2,371.9,3.7,28,-36.67,142.17,134
79101,PYRENEES (BEN NEVIS),VIC,543.2,721.1,-1.0,15,-37.23,143.20,875
79102,MAROO WEST (WARRANOOKE (GLENORCHY) COMPA,VIC,319.8,432.3,-1.0,4,-36.73,142.73,150
79105,STAWELL AERODROME,VIC,411.8,466.4,33.3,28,-37.07,142.74,235
79109,PATYAH (BOOROOPKI COMPARISON),VIC,460.0,515.5,-1.0,4,-36.81,141.26,138
80004,CANARY ISLAND,VIC,319.9,359.7,36.5,116,-35.97,143.85,90
80015,ECHUCA AERODROME,VIC,359.9,423.5,27.5,121,-36.16,144.76,96
80023,KERANG,VIC,325.4,376.0,29.8,125,-35.72,143.92,82
80024,KERANG (MERAN DOWNS),VIC,334.8,365.0,39.8,119,-35.87,143.80,80
80027,KORONG VALE (BURNBANK),VIC,339.2,424.1,18.3,72,-36.32,143.74,135
80036,MINCHA,VIC,312.8,370.6,31.4,106,-35.97,144.11,85
80049,ROCHESTER,VIC,339.6,443.8,18.3,116,-36.36,144.71,114
80056,TONGALA,VIC,372.2,443.2,29.1,87,-36.25,144.96,104
80067,CHARLTON (DONALD ST),VIC,362.8,424.2,27.9,62,-36.27,143.35,130
80091,KYABRAM,VIC,338.0,448.1,12.3,58,-36.34,145.06,105
80130,WEST PRAIRIE,VIC,325.5,424.2,-1.0,5,-36.27,144.17,104
80131,ST ARNAUD (COONOOER BRIDGE (YAWONG)),VIC,304.3,432.4,-1.0,5,-36.44,143.31,154
